Task_ID,Project_Name,Assigned_Staff_ID,Staff_Workload_FTE_Days,Task_Duration_Hours,Timezone_Constraint_Score,Project_Risk_Score,External_Dependency_Flag,Planned_Start_Date,Actual_Duration_Hours,Task_Status,Predecessor_Task_ID
T0001,AI Ethics Framework,STAFF_05,2.22,66,1,2,0,2025-11-18,28.0,In Progress,T0873
T0002,AI Ethics Framework,STAFF_16,3.89,79,3,1,0,2025-11-28,60.0,In Progress,None
T0003,AI Ethics Framework,STAFF_05,4.28,58,1,3,0,2026-03-19,61.0,In Progress,T0096
T0004,AI Ethics Framework,STAFF_03,2.75,27,1,4,0,2025-10-15,64.0,In Progress,T0957
T0005,Annual Retreat Planning,STAFF_12,3.82,66,3,1,0,2026-03-24,27.0,In Progress,T0913
T0006,AI Ethics Framework,STAFF_01,1.6,78,1,4,0,2025-11-20,56.0,Completed,T1074
T0007,Comms Strategy 2026,STAFF_09,2.13,16,1,4,1,2026-01-16,14.0,Completed,None
T0008,EU AI Act Compliance,STAFF_09,3.59,8,3,1,0,2025-11-24,36.0,Completed,T1180
T0009,Comms Strategy 2026,STAFF_04,1.99,36,3,1,0,2025-12-03,55.0,Completed,T1285
T0010,New Hire Recruitment,STAFF_03,2.98,70,5,4,0,2026-02-08,20.0,Completed,T0470
T0011,EU AI Act Compliance,STAFF_17,1.01,79,1,2,0,2025-11-20,10.0,Completed,T0630
T0012,Annual Retreat Planning,STAFF_02,3.04,63,1,5,0,2026-02-12,9.0,Blocked,T1019
T0013,EU AI Act Compliance,STAFF_01,4.32,75,3,5,0,2025-10-21,23.0,Completed,T0900
T0014,EU AI Act Compliance,STAFF_08,4.36,42,1,2,0,2025-12-12,13.0,Completed,None
T0015,New Hire Recruitment,STAFF_13,3.65,10,1,1,0,2026-03-16,52.0,Completed,T0304
T0016,AI Ethics Framework,STAFF_15,3.75,14,3,4,0,2025-10-18,78.0,In Progress,T0571
T0017,AI Ethics Framework,STAFF_08,2.83,34,1,5,0,2026-02-09,12.0,Completed,T0931
T0018,Annual Retreat Planning,STAFF_12,2.96,8,1,4,0,2025-12-28,63.0,Completed,None
T0019,AI Ethics Framework,STAFF_12,0.75,78,1,2,0,2025-11-29,78.0,Completed,None
T0020,New Hire Recruitment,STAFF_14,2.27,51,1,4,0,2025-10-14,39.0,Blocked,T0547
T0021,EU AI Act Compliance,STAFF_15,2.31,48,1,2,0,2025-10-09,56.0,To Do,T0110
T0022,New Hire Recruitment,STAFF_15,4.8,49,1,1,1,2025-12-29,20.0,To Do,T0686
T0023,Annual Retreat Planning,STAFF_09,2.21,40,3,2,1,2025-11-22,37.0,Completed,T0641
T0024,Comms Strategy 2026,STAFF_19,2.79,57,5,2,0,2026-02-07,32.0,In Progress,None
T0025,New Hire Recruitment,STAFF_08,2.71,70,1,5,0,2025-12-23,67.0,In Progress,T0701
T0026,EU AI Act Compliance,STAFF_19,3.22,44,1,4,0,2025-12-31,66.0,Completed,T0497
T0027,New Hire Recruitment,STAFF_06,3.77,66,1,5,1,2026-01-19,35.0,Completed,T0594
T0028,AI Ethics Framework,STAFF_19,1.2,55,1,3,0,2026-03-21,65.0,Completed,T0646
T0029,EU AI Act Compliance,STAFF_04,2.69,12,3,2,0,2025-10-08,27.0,In Progress,None
T0030,AI Ethics Framework,STAFF_07,4.15,55,3,3,0,2026-03-24,41.0,Completed,T0132
T0031,EU AI Act Compliance,STAFF_04,2.37,10,3,5,0,2025-11-04,12.0,Completed,T0515
T0032,AI Ethics Framework,STAFF_12,1.46,54,1,4,1,2025-12-20,67.0,Completed,None
T0033,New Hire Recruitment,STAFF_13,3.31,69,1,5,0,2026-03-13,50.0,In Progress,T0249
T0034,New Hire Recruitment,STAFF_03,4.14,21,1,4,0,2025-11-19,64.0,Blocked,T1207
T0035,New Hire Recruitment,STAFF_12,0.41,70,1,4,0,2026-01-12,64.0,In Progress,T0580
T0036,AI Ethics Framework,STAFF_02,3.91,68,3,1,0,2026-02-09,61.0,In Progress,T0946
T0037,Comms Strategy 2026,STAFF_02,4.13,38,5,2,0,2025-10-02,62.4,In Progress,T0162
T0038,EU AI Act Compliance,STAFF_09,2.36,24,1,5,0,2026-02-11,44.0,Completed,T0498
T0039,EU AI Act Compliance,STAFF_01,4.92,31,3,4,1,2025-11-23,55.0,Completed,T0814
T0040,EU AI Act Compliance,STAFF_08,3.95,30,1,5,0,2026-01-14,73.2,To Do,T0377
T0041,EU AI Act Compliance,STAFF_06,3.89,57,1,5,0,2025-10-04,55.0,To Do,T0881
T0042,Annual Retreat Planning,STAFF_06,3.76,77,1,4,1,2025-11-23,11.700000000000001,In Progress,T0358
T0043,Comms Strategy 2026,STAFF_18,0.84,34,1,3,0,2026-02-23,41.0,Completed,T1057
T0044,EU AI Act Compliance,STAFF_17,1.16,22,1,2,0,2025-11-13,70.0,Completed,None
T0045,AI Ethics Framework,STAFF_12,2.37,57,3,2,0,2026-03-11,55.0,Completed,T0139
T0046,AI Ethics Framework,STAFF_06,1.39,43,3,1,0,2025-10-14,30.0,Blocked,T0353
T0047,AI Ethics Framework,STAFF_08,2.13,15,1,1,0,2026-01-03,20.0,In Progress,None
T0048,New Hire Recruitment,STAFF_19,4.45,10,1,1,1,2025-11-17,64.8,Blocked,T1027
T0049,AI Ethics Framework,STAFF_10,4.14,69,3,2,0,2025-10-15,51.0,In Progress,T0128
T0050,AI Ethics Framework,STAFF_01,3.19,54,3,3,0,2025-11-09,39.0,Completed,T0791
T0051,EU AI Act Compliance,STAFF_13,4.3,68,3,2,0,2025-12-21,33.0,Completed,T0341
T0052,New Hire Recruitment,STAFF_17,3.94,39,1,2,0,2026-01-19,60.0,Completed,T0324
T0053,New Hire Recruitment,STAFF_03,2.2,20,5,2,0,2025-11-22,25.2,In Progress,None
T0054,Annual Retreat Planning,STAFF_08,1.09,8,1,2,0,2025-10-24,70.8,Completed,T1238
T0055,Comms Strategy 2026,STAFF_14,2.62,41,3,3,1,2026-03-03,43.0,In Progress,T1132
T0056,EU AI Act Compliance,STAFF_03,3.71,69,1,1,0,2026-02-01,15.0,In Progress,T0389
T0057,AI Ethics Framework,STAFF_16,2.24,78,3,5,0,2025-11-10,47.0,Completed,T0193
T0058,New Hire Recruitment,STAFF_13,3.37,38,1,1,0,2026-03-06,29.0,Completed,None
